KEY,English,Russian,TAG
shareTournamentDescriptionUnknown,I have beaten {0} friends in today's tournament! Join us!,Я обошел {0} [друзей|друга|друзей] в сегодняшнем турнире! Присоединяйтесь!,Facebook
beforeGameCat,CAT!,МЯУ!,Game
beforeGameReady,READY,НА СТАРТ,Game
beforeGameSet,SET,ВНИМАНИЕ,Game
comboLoopX,{0}x LOOP,{0}x ПЕТЛЯ,Game
comboX,{0}x CHAIN,{0}x ЦЕПОЧКА,Game
fever,DISCO,ДИСКО,Game
timeIsUp,TIME UP,"ВРЕМЯ
ВЫШЛО",Game
collectBatsToGetCat,Collect 100 bats and exchange them for a unique cat!,"Собери сто летучих мышей
и обменяй их на уникального котика!",Halloween
collectBatsToGetCatDone,Exchange bats for a unique cat!,Обменяй летучих мышей на уникального котика!,Halloween
happyHalloweenDay,HAPPY HALLOWEEN!,С ХЭЛЛОУИНОМ!,Halloween
moreBats,BUY BATS,КУПИТЬ МЫШЕЙ,Halloween
nextCatbox,Next catbox is on level {0},"Следующая коробка
на {0} уровне",Level Up
checkConnection,Fishing...,Ловим рыбу...,Loading
loadLocal,Waking the cats up...,Будим котиков...,Loading
loginFacebook,Filling the bowls...,Наполняем миски...,Loading
loginParse,Setting the boxes...,Расставляем коробки...,Loading
daysShort,d,д,Lucky Wheel
hoursShort,h,ч,Lucky Wheel
secondsShort,s,с,Lucky Wheel
minutesShort,m,м,Lucky Wheel
luckyWheelCaps,LUCKY WHEEL,КОЛЕСО УДАЧИ,Lucky Wheel
nextFreeSpinIsIn,Next free sausage is in,Бесплатная сарделька через,Lucky Wheel
noConnection,To start the wheel connect your device to Internet,"Чтобы запустить колесо, подключите к интернету свое устройство",Lucky Wheel
sausage,SAUSAGE,САРДЕЛЬКА,Lucky Wheel
sausages,SAUSAGES,САРДЕЛЬКИ,Lucky Wheel
timeIncorrect,To start the wheel set exact time on your device,"Чтобы запустить колесо, установите точное время на своем устройстве",Lucky Wheel
yourPrize,Your Prize!,Твой приз!,Lucky Wheel
championship,Championship,Чемпионат,Main Menu
fbLoginToChalangeFriends,"Log into Facebook
to challenge your friends!","Подключи Facebook, чтобы
соревноваться с друзьями!",Main Menu
getBonus,On first login you'll get,Получи бонус,Main Menu
login,LOGIN,ВОЙТИ,Main Menu
play,PLAY,ИГРАТЬ,Main Menu
shop,SHOP,МАГАЗИН,Main Menu
tournament,Tournament,Турнир,Main Menu
aquariumSmall,{0} goldfish,{0} золотых рыбок,Missions
congratulations,CONGRATULATIONS!,ПОЗДРАВЛЯЕМ!,Missions
get,GET,ПОЛУЧИТЬ,Missions
level,LEVEL {0},{0} УРОВЕНЬ,Missions
maxLevel,"Congratulations!
The highest level
has been achieved!","Поздравляем!
Достигнут высший уровень!",Missions
missionChainLength,Build a chain of {0} or more cats,Объедини в цепочку {0} или больше котиков,Missions
missionChainSequence,Build a chain of 6 or more cats {0} times sequentially,Объедини в цепочку 6 или больше котиков {0} [раз|раз|раза] подряд,Missions
missionGameSessions,Play {0} times,Сыграй {0} [раз|раз|раза],Missions
missionGetCats,Release {0} cats,Разгони {0} [котиков|котика|котика],Missions
missionGetCatsAtOneGame,Release {0} cats during a play,Разгони {0} [котиков|котика|котика] за игру,Missions
missionGetFever,Run Disco mode {0} times,Запусти Диско режим {0} [раз|раз|раза],Missions
missionGetFeverAtOneGame,Run Disco mode {0} times during a play,Запусти Диско режим {0} [раз|раз|раза] за игру,Missions
missionGetGoldfishes,Collect {0} goldfish,Собери {0} [золотых рыбок|золотую рыбку|золотые рыбки],Missions
missionGetGoldfishesAtOneGame,Collect {0} goldfish during a play,Собери {0} [золотых рыбок|золотую рыбку|золотые рыбки] за игру,Missions
missionGetLoops,Build a chain-loop {0} times,Сделай цепочку-петлю {0} [раз|раз|раза],Missions
missionGetLoopsAtOneGame,Build a chain-loop {0} times during a play,Сделай цепочку-петлю {0} [раз|раз|раза] за игру,Missions
missionGetMultiplier,Get x{0} multiplier,Набери множитель x{0},Missions
missionGetScore,Score {0} points,Набери {0} очков,Missions
missionGetScoreWithoutGinger,Score {0} points without building ginger cat chains,"Набери {0} очков, не делая цепочки с рыжими котами",Missions
missionGetScoreWithoutLime,Score {0} points without building green cat chains,"Набери {0} очков, не делая цепочки с зелеными котами",Missions
missionGetScoreWithoutMultipliers,Score {0} points without multiplier usage,"Набери {0} очков, не используя множители",Missions
missionInviteFriends,Invite {0} friends to join the game,Пригласи {0} [друзей|друга|друзей] в игру,Missions
missionInviteFriendsLogout,"Connect to Facebook using the ""Login"" button and invite {0} friends into the game","Подключи Facebook, нажав на кнопку ""Войти"", и пригласи {0} [друзей|друга|друзей] в игру",Missions
missionLevelUpCat,Upgrade your supercat to level {0},Прокачай суперкотика до {0} уровня,Missions
missionLoopLength,Build a chain-loop of {0} or more cats,Объедини в цепочку-петлю {0} или больше котиков,Missions
missionUseBoost,Use a booster {0} times,Воспользуйся бонусом {0} [раз|раз|раза],Missions
missionUseCats,Use your supercats {0} times,Используй своих суперкотиков {0} [раз|раз|раза],Missions
missionUseCatsAtOneGame,Use your supercats {0} times during a play,Используй своих суперкотиков {0} [раз|раз|раза] за игру,Missions
missionUseFireworkBoomBig,Detonate {0} Big petards,Взорви {0} [Больших петард|Большую петарду|Большие петарды],Missions
missionUseFireworkBoomSmall,Detonate {0} Small petards,Взорви {0} [Небольших петард|Небольшую петарду|Небольшие петарды],Missions
missionUseFireworkColor,Detonate {0} Colourful petards,Взорви {0} [Цветных петард|Цветную петарду|Цветные петарды],Missions
missionUseFireworkRocket,Detonate {0} Rockets,Взорви {0} [Ракет|Ракету|Ракеты],Missions
missionUseFireworksAtOneGame,Detonate {0} petards during a play,Взорви {0} [любых петард|любую петарду|любые петарды] за игру,Missions
missionUseSausage,Run Lucky Wheel {0} times,Покрути Колесо удачи {0} [раз|раз|раза],Missions
missionWinTournament,Beat {0} friends in a Tournament,Победи {0} [друзей|друга|друзей] в Турнире,Missions
tasks,TASKS,ЗАДАЧИ,Missions
tutorialChainLengthTip,"To build a long chain try to release cats of other colors as long as you can, leaving just cats of necessary color in the box. Then release them all at once. You might find these supercats useful: Mage, Joker, Lady","Чтобы сделать длинную цепочку, старайся как можно дольше разгонять котиков других цветов, оставляй в коробке только нужного цвета - после чего разгони всех за один раз. Так же тебе могут пригодиться суперкоты Маг, Джокер и Леди",Missions
tutorialChainSequenceTip,"To build a long chain try to release cats of other colors as long as you can, leaving just cats of necessary color in the box. Then release them all at once. You might find these supercats useful: Mage, Joker, Lady. To complete the task prepare {0} long chains and then release each of them sequentially not being interrupted with short chains","Чтобы сделать длинную цепочку, старайся как можно дольше разгонять котиков других цветов, оставляя в коробке только нужного цвета. Так же тебе могут пригодиться суперкоты Маг, Джокер и Леди. Для выполнения задания подготовь {0} длинных цепочек, а затем разгони их одну за другой, не отвлекаясь на короткие цепочки",Missions
tutorialGameSessionsTip,Complete game session {0} times. Number of completed games is available in your game profile - press the button with silhouette to access it,Закончи игровую сессию {0} [раз|раз|раза]. Количество законченных игр можно посмотреть в твоем игровом профиле - для этого нажми на кнопку с силуэтом человечка,Missions
tutorialGetCatsTip,"There are few ways to release cats: build a chain, detonate petards, use superabilities of Loki, Boom, Cap, Jack, Orion. The task considers all cats leaving the box due to those actions","Разогнать котиков можно разными способами: строить цепочки, взрывать петарды, использовать суперспособности Локи, Бума, Кэпа, Джека и Ориона. Все котики, покинувшие коробку при этих действиях, засчитываются",Missions
tutorialGetFeverTip,"When the scale located around the box is full the Disco mode starts. This means all goldfish and score points will be multiplied 3 times during next 7 seconds. The scale becomes full faster when you do longer chains more frequently. Next Disco is harder to run than previous. You might find these supercats useful: Loki, Boom, Cap, Orion, Disco","Когда заполняется вся шкала по периметру коробки, включается режим Диско. Это значит, что в течении следующих 7 секунд все рыбки и очки будут утраиваться. Шкала наполняется быстрее, если ты делаешь цепочки длиннее и чаще. Каждое следующее Диско вызвать сложнее предыдущего. Так же тебе могут помочь суперкоты Локи, Бум, Кэп, Орион и Диско",Missions
tutorialGetGoldfishesTip,"To gather golfish faster try to release cats with goldfish in their paws firstly. Run Disco mode more frequently as during it the number of goldfish is three times higher. You might find these supercats useful: King, Flint, Disco","Чтобы быстрее собирать рыбок, старайся в первую очередь разгонять котиков, которые держат их в лапах. Чаще вызывай режим Диско, ведь пока он активен количество собранных рыб утраивается. Так же тебе помогут суперкоты Флинт, Царь и Диско",Missions
tutorialGetLoopsTip,"Loop — is a chain of 6 or more cats, where start and end cats are located nearby. Such chains will give you three times more score points. You might find these supercats useful: Mage, Lady, Joker","Петля – это такая цепочка длиною 6 и больше, в которой первый и последний котики находятся рядом. За петлю-цепочку дают в три раза больше очков. Чаще делать петли помогут суперкоты Маг, Леди и Джокер",Missions
tutorialGetMultiplierTip,"Multiplier is the ball in cat's paws. As soon as you gather it, your score points will be multiplied by specified number till the end of the game. Until you gather current multiplier another one with bigger number won't become available. The longer chains you build the sooner next multiplier falls into the box. You might find these supercats useful: Mage, Lady, Joker","Множитель - это клубок с цифрой в лапах котика. Как только ты возьмешь его, твои очки будут умножаться на указанное число все время до конца игры. Пока не будет собран предыдущий, более крупный множитель не выпадет. Чем длиннее цепочки ты делаешь, тем быстрее появится новый множитель. В этом деле тебе помогут суперкоты Маг, Леди и Джокер",Missions
tutorialGetScoreTip,"The longer chains you build the more score points you gain. Multipliers, disco-mode, loops and supercats Loki, Boom, Cap, Jack, Orion will also help you to earn more score points","Чем длиннее цепочки ты делаешь, тем больше очков получишь. Множители, диско-режим, петли и суперкоты Локи, Бум, Кэп, Джек и Орион так же помогут заработать больше очков",Missions
tutorialGetScoreWithoutGingerTip,"The longer chains you build the more score points you gain. Multipliers, disco-mode, loops and supercats Loki, Boom, Cap, Jack, Orion will also help you to earn more score points. To get the task completed you should not build chains of ginger cats!","Чем длиннее цепочки, тем больше очков они приносят. Множители, диско-режим, петли и суперкоты Локи, Бум, Кэп, Джек и Орион так же помогут заработать больше очков. Чтобы задание считалось выполненным, в течение игры нельзя делать цепочки из рыжих котов!",Missions
tutorialGetScoreWithoutLimeTip,"The longer chains you build the more score points you gain. Multipliers, disco-mode, loops and supercats Loki, Boom, Cap, Jack, Orion will also help you to earn more score points. To get the task completed you should not build chains of green cats!","Чем длиннее цепочки, тем больше очков они приносят. Множители, диско-режим, петли и суперкоты Локи, Бум, Кэп, Джек и Орион так же помогут заработать больше очков. Чтобы задание считалось выполненным, в течение игры нельзя делать цепочки из зеленых котов!",Missions
tutorialGetScoreWithoutMultipliersTip,"The longer chains you build the more score points you gain. Multipliers, disco-mode, loops and supercats Loki, Boom, Cap, Jack, Orion will also help you to earn more score points. To get the task completed you should not touch cats with multiplier (cats with x2 ball in the paws) during the game","Чем длиннее цепочки, тем больше очков они приносят. Диско-режим, петли и суперкоты Локи, Бум, Кэп, Джек и Орион так же помогут заработать больше очков. Чтобы задание считалось выполненным, в течение игры нельзя активировать множители, т.е. трогать котика с клубком x2",Missions
tutorialInviteFriendsLogoutTip,"Connect your Facebook account to the game using ""Login"" button and invite {0} friends with the button ""Invite Friends"" on the tournament screen","Подключи свой аккаунт Facebook к игре, нажав на кнопку ""Войти"", и, используя кнопку ""Пригласить друзей"" на экране турнира, позови в игру {0} друзей",Missions
tutorialInviteFriendsTip,"Invite {0} friends into the game with the button ""Invite Friends"" on the tournament screen","Используя кнопку ""Пригласить друзей"" на экране турнира, позови в игру {0} друзей",Missions
tutorialLevelUpCatTip,Every time supercat is used in the game his level grows up and his super power becomes stronger. To complete the task you should have at least one supercat of {0} level in your collection,"Каждый раз, когда суперкотик используется в игре, его уровень растет и его суперсила крепнет. Чтобы задание считалось выполненным, хотя бы один суперкот из твоей коллекции должен подняться до {0} уровня",Missions
tutorialLoopLengthTip,"Loop — is a chain of 6 or more cats, where start and end cats are located nearby. Such chains will give you three times more score points. To complete the task you should build a loop of at least {0} cats! You might find these supercats useful: Mage, Lady, Joker","Петля – это такая цепочка длиною 6 и больше, в которой первый и последний котики находятся рядом. За петлю-цепочку дают в три раза больше очков. Для выполнения задачи нужно построить петлю из {0} и более котиков! Длинные петли помогут сделать суперкоты Маг, Леди и Джокер",Missions
tutorialUseBoostTip,Bonuses are suggested before a game session starts. To complete the task you should take {0} bonuses into the game. Bonuses are given as level up reward or can be taken for goldfish,"Бонусы предлагаются перед началом игры. Для выполнения задачи нужно взять в игру {0} бонусов. Бонусы дают в награду за повышение уровня, либо их можно получить за рыбки перед началом игры  ",Missions
tutorialUseCatsTip,"Choose supercat from the list before game starts, the cat will sit to the box. Start to play. Release the cats of the same color the bar of supercat's box has to get it filled up. When supercat falls into play box tap on it. ","Выбери суперкота из списка перед началом игры, он сядет в коробку. Начни игру. Разгоняй котиков того же цвета, что и шкала на коробке с суперкотом, чтобы ее наполнить. Когда суперкот выпадет на игровое поле, нажми на него",Missions
tutorialUseFireworkBoomBigTip,"Big petard becomes available for the chain of 10 cats. To detonate a petard tap on it. Mage, Lady, Joker and Loki supercats can help you to build long chains","Большая петарда появляется, когда сделана цепочка из 10 котов. Чтобы петарду взорвать, на нее нужно нажать. Длинные цепочки тебе помогут сделать суперкоты Маг, Леди, Джокер и Локи",Missions
tutorialUseFireworkBoomSmallTip,"Small petard becomes available for the chain of 6 cats. To detonate a petard tap on it. Mage, Lady, Joker and Loki supercats can help you to build long chains","Небольшая петарда появляется, когда сделана цепочка из 6 котов. Чтобы петарду взорвать, на нее нужно нажать. Длинные цепочки тебе помогут сделать суперкоты Маг, Леди, Джокер и Локи",Missions
tutorialUseFireworkColorTip,"Colourful petard becomes available for the chain of 12 cats. To detonate a petard tap on it. Mage, Lady, Joker and Loki supercats can help you to build long chains","Цветная петарда появляется, когда сделана цепочка из 12 котов. Чтобы петарду взорвать, на нее нужно нажать. Длинные цепочки тебе помогут сделать суперкоты Маг, Леди, Джокер и Локи",Missions
tutorialUseFireworkRocketTip,"Rocket becomes available for the chain of 8 cats. To detonate a rocket tap on it. Mage, Lady, Joker and Loki supercats can help you to build long chains","Ракета появляется, когда сделана цепочка из 8 котов. Чтобы ее взорвать, на нее нужно нажать. Длинные цепочки тебе помогут сделать суперкоты Маг, Леди, Джокер и Локи",Missions
tutorialUseFireworksAtOneGameTip,"To complete the task you should detonate {0} rockets or/and petards of any type. To detonate a petard tap on it. The easiest way - to detonate small petards as they become available for a chain of 6 cats.  Mage, Lady, Joker and Loki supercats can help you to build long chains","Для выполнения задания нужно взорвать {0} любых петард и ракет в течение одной игры! Чтобы петарду взорвать, на нее нужно нажать. Проще всего взрывать небольшие петарды, ведь они появляются, когда сделана цепочка всего из 6 котов. Длинные цепочки тебе помогут сделать суперкоты Маг, Леди, Джокер и Локи",Missions
tutorialUseSausageTip,Run Lucky Wheel {0} times and the task will be completed. Lucky Wheel is available on championship screen. To run it you need sausages. You can get them as a level up reward or get a free one every 8 hours or purchase it anytime in the shop,"Запусти колесо удачи {0} раз и задача будет выполнена. Колесо удачи находится на экране с чемпионатом. Для запуска колеса нужны сосиски, которые можно получить в награду за уровень, бесплатно раз в 8 часов, либо в любой момент купить в магазине",Missions
tutorialUseSausageTipPremium,Run Lucky Wheel {0} times and the task will be completed. Lucky Wheel is available on championship screen. To run it you need sausages. You can get them as a level up reward or get a free one every 8 hours,"Запусти колесо удачи {0} раз и задача будет выполнена. Колесо удачи находится на экране с чемпионатом. Для запуска колеса нужны сосиски, которые можно получить в награду за уровень, либо бесплатно раз в 8 часов",Missions
tutorialWinTournamentTip,"The tournament lasts 24 hours. When the time is up the results are summed up, the prizes are distributed between participants. Your friend having more than 0 score points during the tournament is considered as a participant. To complete the task you should have more score points than {0} of your friends-participants ","Tурнир длится сутки. По истечении этого времени подводятся итоги и распределяется награда среди участников. Участниками считаются твои друзья, набравшие очков больше 0 в течение этого турнира. Для выполнения задачи ты должен обойти по очкам {0} поучаствовавших друзей",Missions
unlockCatSlot,New box for a cat,Новая коробка для котика,Missions
unlockChampionship,Championship is unlocked,Открыт доступ в Чемпионат,Missions
unlockFever,Disco mode is unlocked,Открыт Диско режим,Missions
unlockFireworkBoomBig,Big petard is unlocked,Открыта Большая петарда,Missions
unlockFireworkBoomSmall,Small petard is unlocked,Открыта Небольшая петарда,Missions
unlockFireworkColor,Colourful petard is unlocked,Открыта Цветная петарда,Missions
unlockFireworkRocket,Rocket is unlocked,Открыта Ракета,Missions
unlockGoldfishes,Goldfish is unlocked,Открыты Золотые рыбки,Missions
unlockLuckyWheel,Lucky Wheel is unlocked,Открыто Колесо удачи,Missions
unlockMultiplier,x{0} multiplier is unlocked,Открыт множитель x{0},Missions
unlockTournament,Tournament is unlocked,Открыт доступ в Турнир,Missions
yourReward,Your reward,Твоя награда,Missions
collectHatsToGetCat,Collect 100 hats and exchange them for unique xmas cat!,Собери сто шапок и обменяй их на уникального новогоднего котика!,New Year Hats
collectHatsToGetCatDone,Exchange hats for unique xmas cat!,Обменяй шапки на уникального новогоднего котика!,New Year Hats
happyNewYear,MERRY CHRISTMAS!,C НОВЫМ ГОДОМ!,New Year Hats
happyNewYearSoon,MERRY CHRISTMAS!,С НАСТУПАЮЩИМ!,New Year Hats
moreHats,PURCHASE HATS,КУПИТЬ ШАПКИ,New Year Hats
invite,INVITE,ПОЗВАТЬ,Not Enough Goldfishes
notEnoughGoldfishesForBoosts,To play with the chosen boosters you need {0} goldfish,Для игры с выбранными бонусами тебе не хватает {0} рыбок,Not Enough Goldfishes
notEnoughGoldfishesForCats,To play with the chosen supercats you need {0} goldfish,Для игры с выбранными суперкотиками тебе не хватает {0} рыбок,Not Enough Goldfishes
playWithoutBoosts,"PLAY WITHOUT
BOOSTERS","ИГРАТЬ БЕЗ
БОНУСОВ",Not Enough Goldfishes
playWithoutSuperCats,"PLAY WITHOUT
SUPERCATS","ИГРАТЬ БЕЗ
СУПЕРКОТОВ",Not Enough Goldfishes
watch,WATCH,СМОТРЕТЬ,Not Enough Goldfishes
youCanBuyAquarium,You can buy the aquarium with golfish,Ты можешь приобрести целый аквариум рыбок,Not Enough Goldfishes
youCanInviteFriends,"Or invite NEW friends
to play together",Или пригласить НОВЫХ друзей играть вместе,Not Enough Goldfishes
youCanViewAd,"Or watch a short
video ad",Или посмотреть короткий видео ролик,Not Enough Goldfishes
notificationInvite,{0} invites you to play!,{0} зовет тебя играть!,Notifications
notificationNewSausageText,Try your luck! Win a cool prize!,Испытай удачу! Выиграй классный приз!,Notifications
notificationNewSausageTicker,Use the sausage! Try your luck!,Используй сардельку! Испытай удачу!,Notifications
